number,question,photo,section,A,B,C,D,E,answer
266,¿Qué es la ciudadanía?,,EDUCACIÓN CIVICA,"El vínculo legal entre una persona y un Estado, que le otorga derechos y deberes",Un documento de identidad,Un grupo social sin responsabilidades,Un permiso temporal para vivir en un país,Una categoría exclusiva para militares,A
267,¿Cuál de las siguientes es una responsabilidad ciudadana?,,EDUCACIÓN CIVICA,Respetar y cumplir las leyes,No pagar impuestos,Evitar la participación política,Incumplir las normas de convivencia,No respetar a las autoridades,A
268,¿Cuál es un deber cívico en una sociedad democrática?,,EDUCACIÓN CIVICA,Ejercer el voto en las elecciones,Evadir impuestos,Ignorar los problemas sociales,Desobedecer las normas de tránsito,Fomentar la desinformación,A
269,¿Por qué es importante la educación en la sociedad?,,EDUCACIÓN CIVICA,Porque permite el desarrollo personal y social,Porque solo sirve para conseguir empleo,Porque impide el pensamiento crítico,Porque es una obligación sin valor real,Porque solo beneficia a los gobiernos,A
270,¿Qué institución garantiza el acceso a la educación en un país?,,EDUCACIÓN CIVICA,El Ministerio de Educación (o su equivalente en cada país),El Congreso,La Policía Nacional,La Defensoría del Pueblo,El Tribunal Constitucional,A
271,¿Qué es la psicología?,,PSICOLOGÍA,El estudio de la mente y la conducta humana,La investigación de enfermedades neurológicas,El análisis de la cultura y la sociedad,El estudio exclusivo de los trastornos mentales,La observación de fenómenos paranormales,A
272,¿Cuál de las siguientes NO es una rama de la psicología?,,PSICOLOGÍA,Psicología clínica,Psicología del desarrollo,Psicología forense,Psicología mística,Psicología educativa,D
273,¿Qué escuela psicológica fue fundada por Sigmund Freud?,,PSICOLOGÍA,Conductismo,Gestalt,Psicoanálisis,Humanismo,Cognitivismo,C
274,¿Qué corriente psicológica enfatiza el aprendizaje mediante el refuerzo y el castigo?,,PSICOLOGÍA,Psicoanálisis,Estructuralismo,Conductismo,Gestalt,Humanismo,C
275,¿Cuál de los siguientes es un factor biológico que influye en el comportamiento humano?,,PSICOLOGÍA,Cultura,Medio social,Herencia genética,Educación,Medios de comunicación,C
276,¿Qué factor ambiental tiene un impacto significativo en el desarrollo psicológico?,,PSICOLOGÍA,La inteligencia innata,La exposición a experiencias tempranas,La maduración biológica,La estructura cerebral,La genética,B
277,¿En qué etapa del desarrollo humano ocurre la pubertad?,,PSICOLOGÍA,Infancia,Prenatal,Adolescencia,Adultez,Senectud,C
278,¿Cuál de las siguientes NO es una etapa del desarrollo humano?,,PSICOLOGÍA,Prenatal,Infancia,Senectud,Hibernación,Adolescencia,D
279,¿Qué es la percepción?,,PSICOLOGÍA,Un proceso mental que permite interpretar estímulos sensoriales,La respuesta automática del sistema nervioso,La transmisión de información genética,Un reflejo involuntario del organismo,La memoria a largo plazo,A
280,¿Cuál de los siguientes es un ejemplo de proceso cognoscitivo?,,PSICOLOGÍA,Respiración,Digestión,Atención,Sudoración,Contracción muscular,C
281,¿Qué tipo de memoria almacena información a corto plazo?,,PSICOLOGÍA,Sensorial,Operativa,A largo plazo,Procedimental,Semántica,B
282,¿Quién desarrolló la teoría de la inteligencia emocional?,,PSICOLOGÍA,Jean Piaget,Howard Gardner,Daniel Goleman,Sigmund Freud,John Watson,C
283,¿Cuál es una característica de la motivación intrínseca?,,PSICOLOGÍA,Se basa en recompensas externas,Depende de la presión social,Surge del interés personal,Es controlada por factores genéticos,Se limita a la infancia,C
284,¿Cuál es un ejemplo de emoción primaria?,,PSICOLOGÍA,Culpa,Sorpresa,Vergüenza,Orgullo,Gratitud,B
285,¿Cuál de las siguientes NO es una forma de aprendizaje?,,PSICOLOGÍA,Condicionamiento clásico,Imitación,Memorización espontánea,Condicionamiento operante,Aprendizaje significativo,C
286,¿Quién es el principal representante del conductismo?,,PSICOLOGÍA,Carl Rogers,B.F. Skinner,Jean Piaget,Sigmund Freud,Lev Vygotsky,B
287,¿Qué teoría explica la personalidad a través de factores genéticos y ambientales?,,PSICOLOGÍA,Psicodinámica,Humanista,Conductista,Biopsicosocial,Estructuralista,D
288,¿Qué término describe la parte innata del comportamiento humano?,,PSICOLOGÍA,Personalidad,Cultura,Temperamento,Aprendizaje,Memoria,C
289,¿Quién propuso la teoría de los tipos psicológicos?,,PSICOLOGÍA,Carl Jung,Sigmund Freud,Jean Piaget,Erik Erikson,William James,A
290,¿Cuál de las siguientes es una de las dimensiones de personalidad según Jung?,,PSICOLOGÍA,Introversión-extraversión,Sensación-percepción,Memoria-cognición,Impulsividad-reflexión,Emoción-pensamiento,A
291,¿Qué tipo de aprendizaje implica la modificación del comportamiento mediante recompensas o castigos?,,PSICOLOGÍA,Aprendizaje observacional,Aprendizaje latente,Condicionamiento operante,Aprendizaje social,Aprendizaje mecánico,C
292,"Según Piaget, ¿en qué etapa del desarrollo cognitivo los niños comienzan a pensar de manera lógica sobre eventos concretos?",,PSICOLOGÍA,Sensoriomotora,Preoperacional,Operaciones concretas,Operaciones formales,Metacognitiva,C
293,¿Cuál de los siguientes conceptos describe la tendencia a cambiar el comportamiento para encajar en un grupo?,,PSICOLOGÍA,Disonancia cognitiva,Conformidad,Autorregulación,Individualismo,Identidad personal,B
294,¿Qué trastorno psicológico se caracteriza por períodos de euforia extrema seguidos de depresión severa?,,PSICOLOGÍA,Trastorno de ansiedad generalizada,Esquizofrenia,Trastorno bipolar,Trastorno obsesivo-compulsivo,Fobia social,C
295,¿Cuál es el principal agente de socialización en la infancia?,,PSICOLOGÍA,Escuela,Amigos,Familia,Redes sociales,Televisión,C
296,¿Cuál de los siguientes NO es considerado una emoción básica según Paul Ekman?,,PSICOLOGÍA,Alegría,Sorpresa,Culpa,Miedo,Ira,C
297,¿Qué área del cerebro está relacionada con la comprensión del lenguaje?,,PSICOLOGÍA,Hipocampo,Corteza motora,Área de Wernicke,Área de Broca,Cerebelo,C
298,¿Qué fenómeno explica que podamos reconocer una canción aunque se toque con un instrumento diferente?,,PSICOLOGÍA,Constancia perceptual,Atención selectiva,Ilusión óptica,Disonancia cognitiva,Memoria episódica,A
299,¿Qué estilo de liderazgo se enfoca en la colaboración y la participación de los empleados en la toma de decisiones?,,PSICOLOGÍA,Autocrático,Laissez-faire,Democrático,Transformacional,Carismático,C
300,¿Cuál de las siguientes estrategias es una técnica efectiva para reducir el estrés?,,PSICOLOGÍA,Suprimir emociones,Evitar cualquier situación desafiante,Practicar la meditación y la respiración profunda,Ignorar los problemas,Depender exclusivamente de la suerte,C
301,¿Cuál es la principal característica del Neoclasicismo en la literatura?,,LITERATURA,La exaltación de los sentimientos sobre la razón,El predominio de la razón y las normas sobre la emoción,El rechazo total de la tradición clásica,El uso exclusivo de la prosa sobre la poesía,La fusión entre lo místico y lo filosófico,B
302,¿Qué obra de Leandro Fernández de Moratín critica los matrimonios arreglados?,,LITERATURA,La vida es sueño,El sí de las niñas,Don Álvaro o la fuerza del sino,Rimas,Bodas de sangre,B
303,¿Qué autor pertenece a la Generación del 98 en España?,,LITERATURA,Gustavo Adolfo Bécquer,Miguel de Unamuno,Antonio Buero Vallejo,Pedro Calderón de la Barca,Francisco de Quevedo,B
304,¿Cuál de los siguientes escritores pertenece al Romanticismo español?,,LITERATURA,Federico García Lorca,Gustavo Adolfo Bécquer,Benito Pérez Galdós,Ramón María del Valle-Inclán,Antonio Machado,B
305,¿Qué tema predomina en las Rimas de Gustavo Adolfo Bécquer?,,LITERATURA,La naturaleza como elemento sagrado,La exaltación patriótica,El amor idealizado y la melancolía,La crítica social y política,El realismo costumbrista,C
306,¿Quién es considerado el máximo exponente del teatro neoclásico en España?,,LITERATURA,Tirso de Molina,Pedro Calderón de la Barca,Leandro Fernández de Moratín,Lope de Vega,José Zorrilla,C
307,¿Qué caracteriza la literatura realista del siglo XIX?,,LITERATURA,El subjetivismo y la imaginación desbordante,La idealización de los personajes,La representación objetiva y detallada de la sociedad,El predominio de la poesía sobre la novela,La falta de narrador omnisciente,C
308,¿Quién escribió Fortunata y Jacinta?,,LITERATURA,Benito Pérez Galdós,Juan Ramón Jiménez,Gustavo Adolfo Bécquer,Pío Baroja,Miguel de Unamuno,A
309,¿Cuál es una característica fundamental del teatro de Lope de Vega?,,LITERATURA,La regla de las tres unidades aristotélicas,El uso exclusivo del verso endecasílabo,El rechazo a la mezcla de lo trágico y lo cómico,La introducción de la estructura en tres actos,El uso exclusivo del monólogo,D
310,¿Qué autor escribió La Celestina?,,LITERATURA,Fernando de Rojas,Francisco de Quevedo,Garcilaso de la Vega,Luis de Góngora,Jorge Manrique,A
311,¿Cuál es la principal característica del Neoclasicismo en la literatura?,,LITERATURA,La exaltación de los sentimientos sobre la razón,El predominio de la razón y las normas sobre la emoción,El rechazo total de la tradición clásica,El uso exclusivo de la prosa sobre la poesía,La fusión entre lo místico y lo filosófico,B
312,¿Qué obra de Leandro Fernández de Moratín critica los matrimonios arreglados?,,LITERATURA,La vida es sueño,El sí de las niñas,Don Álvaro o la fuerza del sino,Rimas,Bodas de sangre,B
313,¿Qué autor pertenece a la Generación del 98 en España?,,LITERATURA,Gustavo Adolfo Bécquer,Miguel de Unamuno,Antonio Buero Vallejo,Pedro Calderón de la Barca,Francisco de Quevedo,B
314,¿Cuál de los siguientes escritores pertenece al Romanticismo español?,,LITERATURA,Federico García Lorca,Gustavo Adolfo Bécquer,Benito Pérez Galdós,Ramón María del Valle-Inclán,Antonio Machado,B
315,¿Qué tema predomina en las Rimas de Gustavo Adolfo Bécquer?,,LITERATURA,La naturaleza como elemento sagrado,La exaltación patriótica,El amor idealizado y la melancolía,La crítica social y política,El realismo costumbrista,C
316,¿Quién es considerado el máximo exponente del teatro neoclásico en España?,,LITERATURA,Tirso de Molina,Pedro Calderón de la Barca,Leandro Fernández de Moratín,Lope de Vega,José Zorrilla,C
317,¿Qué caracteriza la literatura realista del siglo XIX?,,LITERATURA,El subjetivismo y la imaginación desbordante,La idealización de los personajes,La representación objetiva y detallada de la sociedad,El predominio de la poesía sobre la novela,La falta de narrador omnisciente,C
318,¿Quién escribió Fortunata y Jacinta?,,LITERATURA,Benito Pérez Galdós,Juan Ramón Jiménez,Gustavo Adolfo Bécquer,Pío Baroja,Miguel de Unamuno,A
319,¿Cuál es una característica fundamental del teatro de Lope de Vega?,,LITERATURA,La regla de las tres unidades aristotélicas,El uso exclusivo del verso endecasílabo,El rechazo a la mezcla de lo trágico y lo cómico,La introducción de la estructura en tres actos,El uso exclusivo del monólogo,D
320,¿Qué autor escribió La Celestina?,,LITERATURA,Fernando de Rojas,Francisco de Quevedo,Garcilaso de la Vega,Luis de Góngora,Jorge Manrique,A
321,¿Cuál es la principal característica del Neoclasicismo en la literatura?,,LITERATURA,La exaltación de los sentimientos sobre la razón,El predominio de la razón y las normas sobre la emoción,El rechazo total de la tradición clásica,El uso exclusivo de la prosa sobre la poesía,La fusión entre lo místico y lo filosófico,B
322,¿Qué obra de Leandro Fernández de Moratín critica los matrimonios arreglados?,,LITERATURA,La vida es sueño,El sí de las niñas,Don Álvaro o la fuerza del sino,Rimas,Bodas de sangre,B
323,¿Qué autor pertenece a la Generación del 98 en España?,,LITERATURA,Gustavo Adolfo Bécquer,Miguel de Unamuno,Antonio Buero Vallejo,Pedro Calderón de la Barca,Francisco de Quevedo,B
324,¿Cuál de los siguientes escritores pertenece al Romanticismo español?,,LITERATURA,Federico García Lorca,Gustavo Adolfo Bécquer,Benito Pérez Galdós,Ramón María del Valle-Inclán,Antonio Machado,B
325,¿Qué tema predomina en las Rimas de Gustavo Adolfo Bécquer?,,LITERATURA,La naturaleza como elemento sagrado,La exaltación patriótica,El amor idealizado y la melancolía,La crítica social y política,El realismo costumbrista,C
326,¿Quién es considerado el máximo exponente del teatro neoclásico en España?,,LITERATURA,Tirso de Molina,Pedro Calderón de la Barca,Leandro Fernández de Moratín,Lope de Vega,José Zorrilla,C
327,¿Qué caracteriza la literatura realista del siglo XIX?,,LITERATURA,El subjetivismo y la imaginación desbordante,La idealización de los personajes,La representación objetiva y detallada de la sociedad,El predominio de la poesía sobre la novela,La falta de narrador omnisciente,C
328,¿Quién escribió Fortunata y Jacinta?,,LITERATURA,Benito Pérez Galdós,Juan Ramón Jiménez,Gustavo Adolfo Bécquer,Pío Baroja,Miguel de Unamuno,A
329,¿Cuál es una característica fundamental del teatro de Lope de Vega?,,LITERATURA,La regla de las tres unidades aristotélicas,El uso exclusivo del verso endecasílabo,El rechazo a la mezcla de lo trágico y lo cómico,La introducción de la estructura en tres actos,El uso exclusivo del monólogo,D
330,¿Qué autor escribió La Celestina?,,LITERATURA,Fernando de Rojas,Francisco de Quevedo,Garcilaso de la Vega,Luis de Góngora,Jorge Manrique,A
331,"¿Qué función del lenguaje predomina en la siguiente expresión? ""¡Qué bello es este paisaje!""",,LENGUAJE,Referencial,Expresiva,Metalingüística,Apelativa,Fática,B
332,¿Cuál de las siguientes palabras es un ejemplo de polisemia?,,LENGUAJE,Coche,Cuadro,Planta,Sierra,Todas las anteriores,E
333,"¿Cuál es el sujeto de la oración ""Se vendieron todas las entradas para el concierto""?",,LENGUAJE,Todas las entradas,El concierto,Se vendieron,Para el concierto,No hay sujeto,A
334,"¿Qué tipo de oración es ""Si tuviera tiempo, viajaría por el mundo""?",,LENGUAJE,Enunciativa,Exhortativa,Interrogativa,Condicional,Exclamativa,D
335,¿Qué palabra está mal escrita?,,LENGUAJE,Epifanía,Exalar,Extravagante,Esplendor,Excéntrico,B
336,"¿Cuál es el sinónimo más adecuado para la palabra ""esquivo"" en el siguiente contexto? ""Pedro es una persona esquiva con los desconocidos.""",,LENGUAJE,Amistoso,Inaccesible,Cercano,Confiable,Sociable,B
337,"¿Cuál es el término hipónimo de ""flor""?",,LENGUAJE,Planta,Rosa,Naturaleza,Hojas,Tallo,B
338,¿Qué oración presenta un pleonasmo?,,LENGUAJE,Sube arriba.,El viento mueve las hojas.,Mañana será un gran día.,No quiero salir ahora.,Están jugando en el parque.,A
339,¿Cuál de las siguientes palabras es un ejemplo de homonimia?,,LENGUAJE,Vela (de barco) / Vela (de cera),Camión / Camioneta,Espejo / Cristal,Tierra / Suelo,Puente / Acueducto,A
340,¿Cuál de los siguientes términos es un latinismo?,,LENGUAJE,A posteriori,Relevante,Deseable,Pendiente,Inmediato,A
341,"¿Qué tipo de acento tiene la palabra ""también""?",,LENGUAJE,Ortográfico,Diacrítico,Prosódico,Enfático,Ninguno,A
342,¿Cuál de las siguientes oraciones contiene un gerundio mal utilizado?,,LENGUAJE,Fue caminando a la escuela.,Estaba corriendo cuando empezó a llover.,Construyeron la casa pintándola de azul.,Estoy estudiando para el examen.,Él sigue hablando sin parar.,C
343,¿Qué oración es un ejemplo de anfibología?,,LENGUAJE,Vi a Pedro con los binoculares.,Me gusta el cine clásico.,Los niños juegan en el parque.,La profesora enseña matemáticas.,María lee un libro interesante.,A
344,"¿Qué tipo de error gramatical se presenta en la oración ""La policía capturó a los ladróns anoche""?",,LENGUAJE,Solecismo,Dequeísmo,Barbarismo,Anfibología,Queísmo,C
345,"¿Qué figura retórica está presente en la siguiente oración? ""Era tan alto como un rascacielos.""",,LENGUAJE,Metáfora,Hipérbole,Prosopopeya,Elipsis,Antítesis,B
346,"¿Cuál es la función del lenguaje predominante en la siguiente oración? ""Es imprescindible que sigamos las normas de seguridad 
para evitar accidentes.""",,LENGUAJE,Expresiva,Poética,Metalingüística,Apelativa,Fática,D
347,¿En cuál de las siguientes oraciones se ha empleado una metáfora?,,LENGUAJE,Su corazón es un volcán a punto de estallar.,Corrió tan rápido como un guepardo.,Pedro es más alto que su hermano.,El coche rugió al encenderse.,Estaba tan cansado que se quedó dormido de inmediato.,A
348,"Identifique el enunciado en el que la palabra ""como"" funciona como conjunción comparativa.",,LENGUAJE,Me explicó el problema como si yo fuera un experto.,No había visto nunca una película como esa.,Actuó como su hermano mayor.,Era tan ágil como un felino.,Me gusta el café como lo prepara mi abuela.,D
349,"¿Qué figura literaria predomina en la siguiente frase? ""El viento cantaba su melodía entre los árboles.""",,LENGUAJE,Hipérbole,Metáfora,Prosopopeya,Antítesis,Sinestesia,C
350,¿Cuál de las siguientes opciones contiene un barbarismo?,,LENGUAJE,La ambigüedad de sus palabras causó confusión.,¿Me prestas tu pluma para firmar el documento?,La atmosfera estaba cargada de tensión.,Fue una escena estremecedora.,El niño se cayó y lloró mucho.,C
351,¿En qué oración se emplea correctamente el dequeísmo?,,LENGUAJE,Me dijo de que vendría temprano.,No cabe duda de que lo logrará.,Pensó de que era una buena idea.,Estoy seguro de que él es culpable.,B y D son correctas.,E
352,"¿Cuál es la relación semántica entre las palabras ""frío"" y ""calor""?",,LENGUAJE,Sinónimos,Homónimos,Parónimos,Antónimos,Polisémicos,D
353,¿Cuál de los siguientes enunciados es un ejemplo de anfibología?,,LENGUAJE,La carta fue escrita por su madre y su hermano.,La sombra de los árboles nos daba tranquilidad.,El niño perdió su pelota en el parque.,La profesora explicó la lección con paciencia.,Me entregaron el informe esta mañana.,A
354,"¿Qué tipo de oración es la siguiente? ""Si estudiaras más, aprobarías el examen.""",,LENGUAJE,Enunciativa,Interrogativa,Imperativa,Exclamativa,Condicional,E
355,"¿Qué tipo de sustantivo es ""manada""?",,LENGUAJE,Propio,Abstracto,Colectivo,Individual,Contable,C
356,¿Cuál de los siguientes enunciados presenta un solecismo?,,LENGUAJE,La ventana fue rota por el viento.,Vinistes muy temprano hoy.,Nos vemos en la tarde.,El profesor explicó detalladamente la teoría.,Juan es más alto que su hermano.,B
357,¿En qué oración se ha empleado correctamente la concordancia?,,LENGUAJE,Los grupo de estudiantes llegaron temprano.,La mayoría de las personas está de acuerdo.,El problema se solucionó con rapidez.,Lo dijeron en la radio que llovería mañana.,Me gustaría de que vinieras con nosotros.,B
358,"En la oración ""Los niños juegan felices en el parque"", el complemento ""en el parque"" es:",,LENGUAJE,Complemento directo,Complemento circunstancial de lugar,Complemento circunstancial de modo,Atributo,Complemento agente,B
359,¿En qué opción se ha cometido un error ortográfico?,,LENGUAJE,La acción del viento erosiona la montaña.,Te recomiendo que hagas una pausa.,Nos dirigimos hacia el centro de la ciudad.,No he visto álla a nadie conocido.,Fue un viaje inolvidable.,D
360,¿Qué oración contiene un hipérbaton?,,LENGUAJE,El viento soplaba con fuerza en la montaña.,Con fuerza en la montaña el viento soplaba.,La luna iluminaba la noche.,Las aves cantaban al amanecer.,El mar azul brillaba bajo el sol.,B
361,Un ángulo en posición normal mide 120°. ¿En qué cuadrante se encuentra?,,TRIGONOMETRÍA,I,II,III,IV,No pertenece a ningún cuadrante,B
362,¿Cuál es el valor de sen 45°?,,TRIGONOMETRÍA,1/2,√3/2,1,√2/2,0,D
363,"Si cos(θ) = 3/5 y θ está en el primer cuadrante, ¿cuál es el valor de sen(θ)?",,TRIGONOMETRÍA,4/5,3/5,5/3,1,√2/2,A
364,¿Cuánto vale tan(30°)?,,TRIGONOMETRÍA,1,√3,√3/3,1/2,2,C
365,¿Cuál es la identidad trigonométrica fundamental?,,TRIGONOMETRÍA,sen²θ + cos²θ = 1,tan²θ + cos²θ = 1,sec²θ - tan²θ = 0,cos²θ + senθ = 1,cot²θ + sen²θ = 1,A
366,¿Cuánto vale sec(0°)?,,TRIGONOMETRÍA,0,1,2,Indeterminado,-1,B
367,¿Cuál es la tangente de un ángulo de 90°?,,TRIGONOMETRÍA,0,1,√3,Indefinido,-1,D
368,"Si θ es un ángulo del segundo cuadrante, entonces su seno es:",,TRIGONOMETRÍA,Positivo,Negativo,Nulo,Indeterminado,No se puede determinar,A
369,¿Cuál es el valor de cos(60°)?,,TRIGONOMETRÍA,1/2,√3/2,0,1,-1,A
370,¿Cuál es el ángulo cuya tangente es igual a 1?,,TRIGONOMETRÍA,30°,45°,60°,90°,0°,B
371,La suma de los ángulos internos de un triángulo es:,,TRIGONOMETRÍA,90°,120°,180°,270°,360°,C
372,"Si sen(θ) = 4/5 y θ está en el segundo cuadrante, ¿cuál es el valor de cos(θ)?",,TRIGONOMETRÍA,3/5,-3/5,4/5,-4/5,1,B
373,¿Cuánto vale cot(45°)?,,TRIGONOMETRÍA,0,1,√3,2,Indeterminado,B
374,¿Cuál es el valor de cos(90° - θ)?,,TRIGONOMETRÍA,cos(θ),-sen(θ),sen(θ),-cos(θ),0,C
375,¿Cuál es el valor de sen(2θ) en términos de sen(θ) y cos(θ)?,,TRIGONOMETRÍA,2sen(θ)cos(θ),sen²(θ) + cos²(θ),cos²(θ) - sen²(θ),1 - 2cos²(θ),1 - sen²(θ),A
376,"Si tan(θ) = 2/3, ¿cuánto vale sen(θ)?",,TRIGONOMETRÍA,2/√13,3/√13,2/√5,3/5,3/√5,E
377,¿Cuál es la derivada de sen(x)?,,TRIGONOMETRÍA,cos(x),-cos(x),sen(x),-sen(x),1,A
378,"Si cos(x) = 0, ¿qué valores puede tomar x en el intervalo [0,360°]?",,TRIGONOMETRÍA,0°,90° y 270°,180°,45° y 135°,60° y 300°,B
379,La ecuación cos(x) = 0 no tiene soluciones en:,,TRIGONOMETRÍA,90°,180°,270°,360°,45°,D
380,¿Cuál es el valor de tan(2θ) en términos de tan(θ)?,,TRIGONOMETRÍA,2tan(θ) / (1 - tan²(θ)),1 - 2tan²(θ),sen(θ) / cos(θ),cos²(θ) - sen²(θ),sen²(θ) - cos²(θ),A
381,¿Cuánto vale sec(30°)?,,TRIGONOMETRÍA,2/√3,1,2,√3,3,A
382,¿Cuál es el valor de cot(60°)?,,TRIGONOMETRÍA,√3,1/√3,1,0,-1,B
383,"Si sen(x) = 0.6, ¿cuánto vale cos(x) si x está en el primer cuadrante?",,TRIGONOMETRÍA,0.8,0.6,0.5,0.4,0.2,A
384,¿Cuál es la ecuación fundamental de la tangente?,,TRIGONOMETRÍA,tan(θ) = sen(θ) / cos(θ),tan(θ) = cos(θ) / sen(θ),tan(θ) = sec(θ) / cot(θ),tan(θ) = 1 / cos(θ),tan(θ) = 1 / sen(θ),A
385,¿Cuánto vale el área de un triángulo con base 10 cm y altura 8 cm?,,TRIGONOMETRÍA,20 cm²,30 cm²,40 cm²,50 cm²,60 cm²,C
386,¿Cuánto es sen(π/6)?,,TRIGONOMETRÍA,1/2,√3/2,0,1,-1,A
387,¿Cuál es el ángulo cuyo seno es 1?,,TRIGONOMETRÍA,0°,45°,90°,180°,270°,C
388,¿Cuánto vale cos(π)?,,TRIGONOMETRÍA,0,-1,1,1/2,-1/2,B
389,"Si cos(θ) = 4/5, ¿cuánto vale sec(θ)?",,TRIGONOMETRÍA,4/5,5/4,3/5,5/3,1,B
390,¿Cuál es la cosecante de 30°?,,TRIGONOMETRÍA,2,1,1/2,√3/2,3,A
391,¿Cuál es la suma de los ángulos interiores de un pentágono?,,GEOMETRÍA,540°,360°,450°,720°,180°,A
392,"Si un triángulo tiene lados de 5 cm, 12 cm y 13 cm, ¿qué tipo de triángulo es?",,GEOMETRÍA,Escaleno,Isósceles,Rectángulo,Equilátero,Obtusángulo,C
393,¿Cuál es el volumen de un cubo cuya arista mide 4 cm?,,GEOMETRÍA,16 cm³,32 cm³,64 cm³,48 cm³,20 cm³,C
394,"Dado un triángulo equilátero de lado 10 cm, ¿cuál es su altura?",,GEOMETRÍA,5√3 cm,10√3 cm,15 cm,10 cm,7√3 cm,A
395,"En la figura, calcula el valor del ángulo ""x"".",,GEOMETRÍA,30°,45°,60°,90°,120°,C
396,"Si un cuadrado tiene una diagonal de 10√2 cm, ¿cuál es la longitud de su lado?",,GEOMETRÍA,5 cm,10 cm,15 cm,20 cm,25 cm,B
397,"En la figura, calcula el área del triángulo sombreado.",,GEOMETRÍA,12 cm²,24 cm²,36 cm²,18 cm²,30 cm²,B
398,El área de un círculo es 16π cm². ¿Cuál es su radio?,,GEOMETRÍA,2 cm,3 cm,4 cm,5 cm,6 cm,C
399,"En la figura, determina el valor del segmento AB.",,GEOMETRÍA,5 cm,10 cm,15 cm,20 cm,25 cm,D
400,"Si el volumen de una esfera es 36π cm³, ¿cuál es su radio?",,GEOMETRÍA,2 cm,3 cm,4 cm,6 cm,9 cm,B
401,"En la figura, ¿cuál es el perímetro del hexágono regular?",,GEOMETRÍA,24 cm,30 cm,36 cm,48 cm,54 cm,C
402,"Si un trapecio tiene bases de 10 cm y 6 cm, y altura de 4 cm, ¿cuál es su área?",,GEOMETRÍA,16 cm²,32 cm²,48 cm²,24 cm²,40 cm²,D
403,"En la figura, encuentra la medida del ángulo desconocido.",,GEOMETRÍA,40°,50°,60°,70°,80°,C
404,¿Cuál es la longitud de la hipotenusa de un triángulo rectángulo con catetos de 8 cm y 6 cm?,,GEOMETRÍA,10 cm,12 cm,14 cm,16 cm,18 cm,A
405,"En la figura, determina el área del sector circular sombreado.",,GEOMETRÍA,10π cm²,15π cm²,20π cm²,25π cm²,30π cm²,C
406,"Si un prisma rectangular tiene dimensiones de 3 cm, 4 cm y 5 cm, ¿cuál es su volumen?",,GEOMETRÍA,30 cm³,40 cm³,50 cm³,60 cm³,70 cm³,A
407,"En la figura, encuentra la longitud de la cuerda en la circunferencia.",,GEOMETRÍA,6 cm,8 cm,10 cm,12 cm,14 cm,C
408,¿Cuál es el área de un rombo con diagonales de 8 cm y 6 cm?,,GEOMETRÍA,24 cm²,30 cm²,36 cm²,40 cm²,48 cm²,A
409,"En la figura, determina la altura del triángulo isósceles.",,GEOMETRÍA,5 cm,10 cm,15 cm,20 cm,25 cm,B
410,"En la figura, calcula el radio de la circunferencia inscrita.",,GEOMETRÍA,3 cm,4 cm,5 cm,6 cm,7 cm,C
411,"Si un cilindro tiene radio de 3 cm y altura de 7 cm, ¿cuál es su volumen?",,GEOMETRÍA,42π cm³,49π cm³,63π cm³,72π cm³,81π cm³,C
412,"En la figura, encuentra la medida del ángulo central del sector circular.",,GEOMETRÍA,30°,45°,60°,90°,120°,D
413,"¿Cuál es la distancia entre los puntos A(2,3) y B(6,7) en el plano cartesiano?",,GEOMETRÍA,2√2,3√2,4√2,5√2,6√2,C
414,"En la figura, encuentra la longitud del arco sombreado.",,GEOMETRÍA,6π cm,8π cm,10π cm,12π cm,14π cm,D
415,"Si un octágono tiene lados de 5 cm, ¿cuál es su perímetro?",,GEOMETRÍA,30 cm,35 cm,40 cm,45 cm,50 cm,C
416,"En la figura, determina el área del trapecio isósceles.",,GEOMETRÍA,25 cm²,30 cm²,35 cm²,40 cm²,45 cm²,D
417,"En la figura, encuentra la medida del segmento que divide al triángulo en dos partes iguales.",,GEOMETRÍA,5 cm,7 cm,9 cm,11 cm,13 cm,C
418,"Si el área de un cuadrado es 81 cm², ¿cuál es su perímetro?",,GEOMETRÍA,24 cm,30 cm,36 cm,42 cm,48 cm,C
419,"En la figura, determina la distancia entre los puntos marcados.",,GEOMETRÍA,4 cm,6 cm,8 cm,10 cm,12 cm,D
420,"En la figura, halla el volumen del cono sombreado.",,GEOMETRÍA,20π cm³,25π cm³,30π cm³,35π cm³,40π cm³,C
421,Determina el cardinal del conjunto A = {x ∈ ℕ | x < 10}.,,ÁLGEBRA,8,9,10,11,12,B
422,Calcula el M.C.D. de 36 y 60.,,ÁLGEBRA,12,6,18,24,30,E
423,¿Cuál es el número primo más cercano a 50?,,ÁLGEBRA,47,49,51,53,55,A
424,¿Cuál es la expresión decimal de 3/8?,,ÁLGEBRA,0.25,0.375,0.5,0.625,0.75,B
425,¿Cuál es la representación geométrica de √25?,,ÁLGEBRA,2,3,4,6,6,D
426,¿Cuál es el valor absoluto de -15?,,ÁLGEBRA,-15,0,10,15,20,D
427,Resuelve la ecuación: 3x - 7 = 8.,,ÁLGEBRA,3,5,7,9,11,B
428,"Si f(x) = 2x² - 3x + 4, calcula f(2).",,ÁLGEBRA,4,6,8,10,12,D
429,¿Cuál es el resultado de (x + 2)²?,,ÁLGEBRA,x² + 4x + 4,x² + 4,x² + 2x + 2,x² + x + 2,x² + 3x + 4,A
